PERMNO	HdrCUSIP	SecurityNm	Ticker	PERMCO	DlyCalDt	DlyPrc	DlyCap	DlyRet	DlyPrcVol
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181023	110.130000	155455983.84	0.006673	492525919.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181024	112.960000	159450721.28	0.025697	927026008.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181025	112.850000	159295448.80	-0.000974	756911921.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181026	110.450000	155907685.60	-0.021267	646272440.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181029	112.890000	159351911.52	0.022091	644070978.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181030	113.770000	160594091.36	0.007795	557438755.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181031	112.380000	158632011.84	-0.012218	724573646.2
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181101	111.510000	157403947.68	-0.007742	639656485.7
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181102	111.170000	156924014.56	-0.003049	745358608.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181105	114.390000	161469263.52	0.028965	602865041.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181106	115.210000	162626749.28	0.007168	450856938.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181107	115.610000	163191376.48	0.003472	487746335.3
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181108	116.060000	163826582.08	0.003892	339451359.5
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181109	117.480000	165831008.64	0.012235	590290712.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181112	116.970000	165111108.96	-0.004341	559210059.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181113	117.140000	165351075.52	0.001453	422796564.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181114	116.650000	164659407.20	-0.004183	515979344.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181115	116.800000	164871142.40	0.001286	472543132.8
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181116	118.350000	167059072.80	0.013271	530720810.6
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181119	119.010000	167990707.68	0.005577	555935578.4
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181120	116.000000	163741888.00	-0.025292	590154408.0
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181121	115.280000	162725559.04	-0.006207	374033337.9
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181123	115.410000	162909062.88	0.001128	166735943.1
13856	71344810	PEPSICO INC; COM NONE; CONS	PEP	21384	20181126	115.860000	163544268.48	0.003899	344389099.7
